gene_id,gene_name,gene_type,LC-PT-45_SC_01,LC-PT-45_SC_02,LC-PT-45_SC_04,LC-PT-45_SC_05,LC-PT-45_SC_06,LC-PT-45_SC_09,LC-PT-45_SC_10,LC-PT-45_SC_13,LC-PT-45_SC_14,LC-PT-45_SC_15,LC-PT-45_SC_23,LC-PT-45_SC_28,LC-PT-45_SC_30,LC-PT-45_SC_34,LC-PT-45_SC_35,LC-PT-45_SC_45,LC-PT-45_SC_49,LC-PT-45_SC_50,LC-PT-45_SC_53,LC-PT-45_SC_54,LC-PT-45_SC_58,LC-PT-45_SC_61,LC-PT-45_SC_65,LC-PT-45_SC_67,LC-PT-45_SC_72,LC-PT-45_SC_76,LC-PT-45_SC_77,LC-PT-45_SC_79,LC-PT-45_SC_87,LC-PT-45_SC_88,LC-PT-45_SC_91,LC-PT-45_SC_93,LC-PT-45_SC_94,LC-PT-45_SC_95,LC-PT-45-Re_SC01,LC-PT-45-Re_SC06,LC-PT-45-Re_SC08,LC-PT-45-Re_SC09,LC-PT-45-Re_SC11,LC-PT-45-Re_SC13,LC-PT-45-Re_SC17,LC-PT-45-Re_SC22,LC-PT-45-Re_SC25,LC-PT-45-Re_SC26,LC-PT-45-Re_SC28,LC-PT-45-Re_SC31,LC-PT-45-Re_SC33,LC-PT-45-Re_SC36,LC-PT-45-Re_SC38,LC-PT-45-Re_SC39,LC-PT-45-Re_SC40,LC-PT-45-Re_SC43,LC-PT-45-Re_SC44,LC-PT-45-Re_SC46,LC-PT-45-Re_SC47,LC-PT-45-Re_SC51,LC-PT-45-Re_SC53,LC-PT-45-Re_SC54,LC-PT-45-Re_SC55,LC-PT-45-Re_SC56,LC-PT-45-Re_SC57,LC-PT-45-Re_SC59,LC-PT-45-Re_SC61,LC-PT-45-Re_SC67,LC-PT-45-Re_SC69,LC-PT-45-Re_SC70,LC-PT-45-Re_SC71,LC-PT-45-Re_SC72,LC-PT-45-Re_SC78,LC-PT-45-Re_SC80,LC-PT-45-Re_SC84,LC-PT-45-Re_SC85,LC-PT-45-Re_SC87,LC-PT-45-Re_SC89,LC-PT-45-Re_SC90,LC-PT-45-Re_SC91,LC-PT-45-Re_SC92,LC-MBT-15_SC02,LC-MBT-15_SC07,LC-MBT-15_SC08,LC-MBT-15_SC09,LC-MBT-15_SC10,LC-MBT-15_SC11,LC-MBT-15_SC14,LC-MBT-15_SC15,LC-MBT-15_SC16,LC-MBT-15_SC20,LC-MBT-15_SC22,LC-MBT-15_SC24,LC-MBT-15_SC25,LC-MBT-15_SC34,LC-MBT-15_SC41,LC-MBT-15_SC42,LC-MBT-15_SC45,LC-MBT-15_SC50,LC-MBT-15_SC51,LC-MBT-15_SC52,LC-MBT-15_SC54,LC-MBT-15_SC55,LC-MBT-15_SC56,LC-MBT-15_SC57,LC-MBT-15_SC58,LC-MBT-15_SC59,LC-MBT-15_SC60,LC-MBT-15_SC62,LC-MBT-15_SC63,LC-MBT-15_SC64,LC-MBT-15_SC65,LC-MBT-15_SC67,LC-MBT-15_SC71,LC-MBT-15_SC72,LC-MBT-15_SC73,LC-MBT-15_SC74,LC-MBT-15_SC75,LC-MBT-15_SC76,LC-MBT-15_SC78,LC-MBT-15_SC79,LC-MBT-15_SC80,LC-MBT-15_SC84,LC-MBT-15_SC85,LC-MBT-15_SC87,LC-MBT-15_SC89,LC-MBT-15_SC92,LC-MBT-15_SC94,LC-MBT-15_SC95,LC-MBT-15_SC96,type=2,type=3,fold-change(PT-MBT),abs_avg_PT,abs_avg_MBT,,,,
ENSG00000079999.9,KEAP1,protein_coding,5.29,80.55,2.24,42.71,0.92,9.12,12.02,0,2.18,18,1.36,6.47,40.98,41.57,9.54,14.13,9.6,0.95,15.67,1.73,0,22.17,55.11,46.69,7.35,1.81,23.7,8.18,50.27,55.34,86.96,10.93,78.68,36.7,48.06,24.08,0,22.34,7.29,120.68,1.61,27.57,18.85,57.82,1.36,0.5,28.07,5.49,11.77,60.78,77.36,28.96,30.72,80.68,40.24,12.87,0,15.26,33.8,50.25,35.08,0.47,13.79,0.29,121.49,11.58,3.94,3.57,66.92,34.81,4.96,53.87,30.6,5.44,84.39,42.29,2.45,20.92,64.33,0.8,89.82,4.65,25.18,3.33,2.36,4.28,0.8,5.55,9.09,0,0,1.25,5.88,8.23,3.95,3.82,17.24,11.78,44.31,7.96,7.01,5.31,0.83,40.76,1.03,31.93,0.5,0,1.8,10.38,39.47,20.98,17.2,4.43,2.92,3.58,4.01,0.23,58.04,1.62,20.08,19.16,4.27,17.23,0,0,0.002638406,0.001040095,14.31834879,27.54896104,13.23061224,1,1,2,1
ENSG00000151883.12,PARP8,protein_coding,31.09,253.16,62.63,85.5,21.88,40.15,144.62,12.23,145.06,30.46,0,18.7,57.39,73.21,11.88,51.17,0.27,68.16,13.02,42.64,42.61,47.39,0.55,80.7,37.51,46.35,47.63,11.68,56.31,5.69,44.07,15.83,40.52,9.28,77.97,1.34,11.42,36.6,8.78,17.89,211.59,8.03,62.9,25.68,0,7.39,114.09,96.63,109.89,22.65,97.09,0.24,20.39,0.49,12.2,32.38,93.5,11.65,90.38,8.99,74.61,404.85,4.04,2.33,89.92,38.95,23.2,15.86,0,25.64,41.83,57.64,13.54,96.81,59.75,93.63,22.32,0,5.36,1.7,1.37,7,21.91,7.72,11.75,9.94,0,57.08,41.36,45.72,2.14,26.64,6.34,0.63,66.92,25.07,5.94,0,18.38,3.72,6.09,3.19,2.02,0.09,27.17,88.68,78.9,0.81,0,56.16,2.48,0,0,52.83,60.25,29.12,19.14,48.44,0.73,0.27,2.03,29.71,0,0.74,118.55,7.98,0.001818709,0.000325688,30.12647495,50.57688312,20.45040816,1,1,2,1
ENSG00000229644.4,NAMPTL,protein_coding,18.27,83.4,114.58,115.46,75.81,122.35,217.57,8.72,85.8,48.72,22.85,149.68,129.44,121.59,118.37,65.73,86.67,82.84,24.44,201.34,63.57,95.17,19.05,145.28,19.48,102.58,125.08,10.8,92.29,1.71,94.97,89.94,49.61,4.02,46.81,31.89,65.92,10.05,83.42,84.19,81.23,89.8,72.88,30.9,61.65,145.6,30.69,28.73,49.65,81.93,56.81,67.8,105.53,12.12,31.88,22.42,81.72,92.68,134.05,36.41,63.03,25.21,10.73,16.82,53.97,88.07,27.69,294.84,12.32,24.01,34.69,43.14,24.67,68.87,66.05,129.72,19.28,130.54,69.33,194.33,79.09,194.74,108.06,77.55,30.03,135.44,228.83,193.01,50.66,135.07,127.99,182.41,105.07,151.2,110.43,84.82,45,64.47,146.51,166.61,201.53,35.72,160.9,137.36,199.77,51.18,90.93,87.15,109.67,57.78,55.28,96.26,114.24,2.61,124.38,26.14,96.09,31.3,122.52,170.7,77.38,180.01,143.65,127.76,54.04,133.07,4.45E-05,5.93E-05,-41.47562152,70.74090909,112.2165306,1,1,2,1
ENSG00000205707.6,LYRM5,protein_coding,54.46,102.33,55.09,88.12,111.1,90.83,225.01,41.65,549.86,143.73,99.74,298.44,45.03,93.93,92.26,115.57,93.51,164.02,234.38,149.34,130.59,235.79,44.47,219.87,3.03,60.66,114.04,21.52,174.69,0.95,0,111.06,105.49,89.19,38.3,61.01,38.55,29.74,144.45,27.82,9.64,120.61,187.9,19.76,8.1,124.76,46.48,89.89,0,12.08,0,23.97,35.41,0,105.95,0,0,0,10.54,7.41,3.77,0,121.6,25.27,181.33,33.96,30.31,43.27,0,38.34,32.74,58.14,99.06,48.5,53.84,134.54,0,100.36,34.22,25.31,70.51,80.35,61.83,59.38,69.3,104.44,36.46,8.26,0,37.93,24.45,9.45,0,52.73,32.87,16.86,77.89,50.88,63.1,42.85,40.9,103.69,82.33,21.91,48.85,0,47.49,60.27,33.7,3.99,17.92,26.26,38.97,72.92,0,41.96,2.36,5.54,35.32,200.74,24.78,9.98,80.15,137.13,50.87,164.43,0.020356339,0.00792503,31.38541744,80.60766234,49.2222449,1,1,2,1
ENSG00000105829.7,BET1,protein_coding,167.78,178.15,200.84,210.01,166.11,211.92,617.74,10.56,172.44,114.75,105.94,77.13,195.24,101.02,43.82,153.78,154.65,311.88,229.84,176.41,230.92,201.6,0,139.53,0.23,89.4,289.85,0.72,312.8,23.43,156.72,130.63,203.31,27.38,27.41,128.03,1.89,99.07,67.31,45.98,37.05,186.85,132.74,54.88,182.31,37.04,143.95,22.79,30.77,193.08,186.21,67.14,54.36,0,95.1,41.09,7.78,96.22,65.56,61.79,170.54,84.16,103.15,0,102.63,162.71,52.45,59.1,9.28,132.44,0,93.21,0.36,61.35,88.74,92.45,55.55,242.58,290.8,162.53,149.06,292.77,366.31,64.37,144.01,294.83,380.89,142.55,216.5,334.58,135.83,320.32,284.96,56.19,85.11,234.55,185.16,117.79,164.21,177.41,182.32,53.29,68.97,218.2,284.56,485.96,79.37,209.82,147.64,84.7,288.18,119.33,273.73,195.16,290.35,278.3,272.42,455.15,227.27,119.44,140.73,369.42,85.23,240.46,185.41,241.96,2.73E-07,5.31E-07,-99.55497217,113.5201299,213.075102,1,1,2,1
ENSG00000214046.4,SMIM7,protein_coding,105.12,149.86,121.47,117.49,129.38,76.57,186.89,2.75,352.32,107.44,288.21,242.07,173.64,193.67,212.77,162.23,99.69,135.23,145.02,171.38,17.91,329.24,26.16,182.14,271.72,367.66,189.73,0.99,67.58,23.21,38.29,164.21,44.13,107.35,158.33,130.86,294.62,138.55,337.34,276.55,339.67,221.29,194.04,119.32,74.63,196.98,316.95,306.66,261.99,205.17,0,132.16,197.08,347.22,232.42,187.38,0,314.94,179.22,103.81,257.9,295.2,282.79,2.07,326.99,189.94,326.37,113.77,304.92,151.89,234.07,179.01,497.72,122.03,248.32,335.19,357.22,24.89,143.83,94.39,40.11,76.78,35.09,60.06,68.03,80.18,152.39,122.1,139.69,126.54,298.15,20.64,24.96,121.92,67.21,94.32,85.59,91.26,115.63,84.28,260.92,127.44,90.64,9.25,45.74,390.79,231.17,142.22,182.87,257.22,74.21,22.58,60.31,223.43,112.82,102.53,191.15,239.38,75.44,128.61,65.21,194.96,102.87,163.07,40.14,34.83,0.000132174,4.92E-05,71.16226345,188.261039,117.0987755,1,1,2,1
ENSG00000160131.9,VMA21,protein_coding,45.04,22.71,44.94,165.28,60.73,0.06,61.42,13.76,12.78,28.32,77.21,126.79,121.92,60.38,0.2,37.95,123.77,69.9,90.02,106.88,89.85,63.61,28.44,160.37,107.47,153.33,93.9,2.64,94.33,4.54,27.73,86.28,62.34,35.2,75.53,142.84,47.51,77.19,214.56,92.37,87.5,35.87,27.34,88.96,84.24,70.49,130.42,63.79,43.8,82.63,4.81,59.04,55.68,0.32,155.64,133.91,0.15,123.23,132.28,143.67,75.1,19.31,95.58,100.26,21.81,82.58,56.49,80.38,76,99.54,83.9,97.88,67.04,59.27,98.78,52.48,42.09,111.63,48.31,86.18,168.14,104.79,6.25,181.7,35.39,59.06,164.32,99.57,51.93,114.49,131.48,93.49,53.13,59.71,123.6,46.82,56.64,28.58,113.84,98.19,149.57,115.68,290.2,31.53,199.56,57.72,59.31,59.44,127.35,112.35,133.34,119.28,123.14,96.36,53.16,31.97,50.22,21.42,73.55,82.06,213.57,122.36,79.78,148.49,102.77,95.12,0.008505469,0.011993208,-24.14747681,73.53701299,97.6844898,1,1,2,1
ENSG00000021355.8,SERPINB1,protein_coding,171.89,108.85,100.15,215.02,67.46,80.66,8.33,4.79,69.42,197.69,131.78,52.29,50.19,5.68,182.66,63.63,299.21,135.47,79.53,179.84,569.46,27.22,109.11,308.5,9.2,123.34,168.89,9.78,178.7,74.74,0.27,193.36,126.12,149.53,234.1,126.72,189.89,139.99,163.33,52.8,147.62,72.54,187.77,43.43,63.73,65.19,118.47,156.36,270.86,92.49,3.35,82.29,102,23.86,94.6,4.34,23.33,166.89,84.03,101.32,150.2,36.68,115.76,3.96,0,153.69,51.66,171.33,147.15,58.61,235.89,189.16,36.28,54.04,133.29,61.64,15.31,52.09,10.3,16.51,0,30.63,13.85,12.88,29.58,0,72.77,14.37,95.65,44.44,67.03,85.04,24.32,59.01,13.2,69.08,0.22,34.86,15.01,76.71,10.48,18.32,81.12,7.95,19.91,0,44.39,18.72,75.15,99.82,43.13,10.01,99.69,9,2.62,31.76,0,45.23,91.71,77.41,25.46,0.6,23.67,21.91,88.95,99.65,2.16E-07,2.47E-09,74.25725417,112.7105195,38.45326531,1,1,2,1
ENSG00000130066.12,SAT1,protein_coding,12996.71,5721.58,2447.93,2660.64,352.16,1206.67,1932.02,6143.92,1479.25,13.97,4322.26,18046.33,1512.54,3957.04,3271.05,2763.96,2288.32,7950.44,14691.14,10222.08,12184.59,11701.82,2515.48,1435.36,1136.05,791.62,4564.39,4206.85,7273.69,5098.93,8534.57,35701.04,4899.71,3024.47,1583.95,440.92,90.58,984.03,902.22,6130.73,1789.66,1398.93,2939.82,380.93,434,1198.55,2069.72,648.36,611.07,18674.21,19199.64,850.92,2607.14,3065.86,641.9,567,1601.9,0,833.73,256.79,881.71,1585.72,1001.87,4011.33,1063.69,500.69,892.6,587.82,289.68,918.41,687.32,3153.33,2108.91,482.95,1400.04,2373.97,1197.19,899.25,1677.15,1321.11,625.69,1208.06,2133.85,425.98,342.41,430.81,282.7,747.35,125.56,290.35,518.06,403.84,561.2,527.19,1533.66,1835.56,876.96,870.25,698.7,2402.14,1478.64,3200.28,952.88,1618.45,2627.22,0.74,656.59,1352.47,1254.03,236.86,294.86,1005.56,721.05,635.73,883.1,286.58,141.49,366.25,126.77,1420.79,402.95,1515.61,2804.16,190.15,82.4,112.55,0.000449614,2.36E-05,2976.72115,3897.251558,920.5304082,1,1,2,1
ENSG00000173141.4,MRP63,protein_coding,9.46,14.66,9.34,0.32,6.81,12.9,15.92,19.03,2.89,29.39,6.18,23.1,12.8,8.03,22.04,8.89,7.02,17.39,15.66,2.1,1.75,21.54,11.19,22.48,1.76,0,9.04,0,11.03,2.53,3.07,0,22.95,10.33,43.22,23.38,0,8.1,23.27,5.94,35.17,2.43,21.11,2.24,1.45,18.56,2.17,8.5,21.3,8.79,0,0.18,28.12,0,14.74,0.19,14.1,14.28,6.72,9.37,12.98,34.87,70.99,0,19.51,23.79,10.13,5.07,20.8,12.36,71.49,10.77,43.69,14.74,7.6,15.76,14.27,12.82,14.47,29.38,11.62,12.39,5.4,23,23.86,21.65,15.89,7.78,8.07,8.49,15.98,25.84,24.39,55.49,11.79,21.98,36.88,15.59,22.88,35.89,25.75,22.12,20.62,21.58,24.16,5.32,3.87,22.03,0.15,33.89,3.59,9.9,6.55,37.16,12.36,10.97,1.36,36.64,21.47,20.35,6.94,29.19,11.56,28.87,31.46,24.1,0.028418909,0.022329888,-5.235881262,13.81493506,19.05081633,1,1,2,1
ENSG00000117305.10,HMGCL,protein_coding,60.62,0.49,26.93,1.73,65.4,37.05,79.05,0.44,0.24,8.39,0,0.38,26.24,33.71,122.02,0,17.62,2.16,4.92,0,7.08,0,0,65.9,0,35.42,9.85,9.39,77.93,3.93,0,21.16,45.67,18.15,1.09,75.08,0,0,0,1.18,0.32,0,0.48,1.25,11.13,67.66,73.43,1.09,0,6.82,0,0.33,0,0,105.61,0,0,0,0,0.33,10.31,119.17,37,0,0,0,0,10.6,0,0.46,1.38,33.31,54.3,1.11,0,0,0,64.22,17.29,97,0.42,49.54,97.06,1.55,92.43,103.29,135.36,2.1,56.9,18.56,91.62,2.15,197.31,55.1,0.4,123.77,388.91,202.15,2.11,49.13,31.29,40.14,15.72,0,39.89,17.64,99.52,69.52,53.52,188.41,27.1,100.32,7.05,45.55,46.41,130.03,6.11,104.34,9.55,77.44,74.8,49.36,75.75,42.03,5.38,71.5,3.61E-07,2.21E-05,-48.75133581,18.12090909,66.8722449,1,1,2,1
ENSG00000070718.7,AP3M2,protein_coding,17.93,0,38.59,0,24.6,0.08,0,0,105.8,0,79.81,0,39,18.98,21.13,0,5,36.36,7.68,0,0,0,3.13,104.67,0,0,0,0,0,0,0,0,12.28,0.47,0,3.7,0,0,3.07,0,40,0.21,4.24,0,10.61,0,0,36.04,0,5.66,210.5,0,0,0,0,0,0,0,55.13,4.44,0,0,3.47,0,0,29.29,0,43.05,6.63,0,19.94,0,0,129.42,0,36.12,0,145.84,27.97,56.47,88.14,8.8,146.09,5.29,0.47,75.59,0,7.61,3.88,21.14,37.54,0,99.56,43,47.58,3.06,16.44,59.17,173.65,44.28,131.85,0,0,36.72,1.86,23.67,180.64,0.63,3.07,14.63,123.13,47.67,55.41,44.15,0,105.21,4.93,11.72,104.91,40.37,10.8,58.65,104.74,78.63,0.7,122.83,1.54E-05,9.40E-05,-34.33057514,15.02636364,49.35693878,1,1,2,1
ENSG00000140395.4,WDR61,protein_coding,69.23,228.6,31.72,91.81,78.22,48.8,8.35,0,11.58,75.41,0,89.01,40.97,5.7,15.98,47.21,26.57,1.78,46.17,97.66,47.33,43.16,62.05,25.34,237.39,0.93,9.38,2.07,8.51,52.58,0,0,11.63,30.77,52.55,53.23,73.9,81.5,16.28,92.4,71.12,82.27,203.57,119.07,96.44,45.16,60.01,28.28,0.9,102.13,94.22,0,67.31,103.88,37.5,55.51,0,51.62,99.31,102.78,111.54,323.63,104.08,0,69.74,70.81,55.55,0,5.97,59.3,82.77,89.35,0.57,53.96,67.46,80.31,68.12,82.85,17.31,89.9,72.46,116.3,146.89,80.37,65.92,46.42,51.99,218.98,142.42,126.23,70.08,18.04,70.96,55.11,97.76,110.97,0,31.58,89.15,40.35,89.86,41.79,73.66,59.43,44.66,151.08,17.67,62.18,136.42,52.01,121.35,212.12,82.18,47.45,159.06,58.53,138.49,96.16,90.31,109.2,51.78,66.63,59.99,23.09,44.18,83.81,0.024090853,0.018708468,-22.46077922,59.48064935,81.94142857,1,1,2,1
ENSG00000173436.9,MINOS1,protein_coding,150.05,438.21,99.99,182.3,151.07,167.81,83.14,9.5,215.19,39.61,97.65,232.39,166.72,106.5,87.23,155.43,159.03,145.61,216.95,96.35,51.88,282.48,4.95,91.59,231.46,24.84,99,342.81,63.23,14.37,201.3,211.41,154.88,101.35,151.69,246.13,123.11,203.36,266.25,83.95,205.62,59.47,44.68,136.37,129.2,170.81,169.27,137.08,110.01,311.5,0,174.93,294.95,0,211.6,150.29,2.09,216.16,87.14,152.45,182.46,211.82,310.13,45.11,178.5,99.43,181.69,97.61,59.99,187.15,357.33,78.57,155.49,137.1,105.29,199.1,169.97,385.17,271.85,393.27,342.31,410.23,436.2,261.63,346.92,327.61,411.28,457.2,345.36,314.03,463.75,361.5,384.06,512.93,580.58,581.86,178.43,479.92,529.65,465.27,464.54,389.96,362.6,536.97,402.91,271.97,394.42,396.05,414.52,299.89,382.52,333.81,399.18,348.03,330.44,434.96,436.25,414.83,410.26,416.64,266.1,385.15,469.37,433.45,436.32,425.95,9.61E-32,8.38E-31,-248.9446939,148.9757143,397.9204082,1,1,2,1
ENSG00000168701.14,TMEM208,protein_coding,245.27,8.45,42.01,218.4,74.94,295.26,53.8,74.29,128,43.7,194.7,373.53,10.46,102.69,151.36,191.59,259.07,123.26,17.72,217.82,284.89,222.81,131.31,98.55,94.85,109.97,175.03,280.75,35.41,21.36,198.97,352.53,32.45,107.54,230.01,115.66,300.17,256.77,229.13,284.18,404.66,217.27,136.46,21.21,125.76,10.47,311.84,121.05,147.97,67.74,0,113.27,184.64,0,220.23,352.12,0,149.37,117.7,363.84,196.05,142.78,138.96,0,220.15,76.24,167.77,213.61,363.91,389.75,239.37,191.1,15.08,169.45,51.98,134.51,137.17,9.94,43.68,105.97,10.67,53.79,68.66,148.45,145.53,115.87,140.27,126.92,125.36,77.55,258.46,237,52.24,106.94,163.59,68.32,255.89,25.4,70.65,95.52,78.2,109.59,94.11,1.25,177,9.19,40.27,104.93,84.34,24.94,270.69,33.78,201.37,251.56,97.4,135.96,276.33,152.43,47.55,144.39,128.54,8.03,45.39,67.78,327.43,53.29,0.008550642,0.005186687,48.08621521,159.7680519,111.6818367,1,1,2,1
ENSG00000124383.4,MPHOSPH10,protein_coding,89.16,19.71,68.04,37.37,29.38,43.42,81.31,16.61,51.04,22.86,13.36,45.64,29.12,64.89,38.92,31.43,52.56,63.53,30.3,24.95,42.67,55.8,70.85,48.69,17.11,101.71,65.88,21.18,19.43,47.1,11.37,28.11,43.23,42.27,53.94,153.48,58.52,93.18,4.09,132.55,58.22,54.78,89.07,62.84,43.46,69.02,109.28,90.09,37.22,56.03,48.86,70.41,82.97,13.94,31.31,48.85,10.52,95.59,53.42,48.76,128.51,97.61,85.53,168.76,24.67,58.96,75.02,103.92,197.5,49.95,42.45,44.04,26.27,80.73,65.7,75.9,33.54,26.74,65.8,6.03,66.29,55.68,52.57,29.86,22.48,47.5,50.65,32,18.98,51.04,41.32,34.17,75.49,4.53,27.26,39.45,40.62,97.92,1.91,58.77,85.73,59.11,26.6,48.25,64.77,24.81,73.19,20.14,28.07,89.18,84.92,20.35,15.88,7.22,8.64,63.42,90.34,22.19,53.73,43.36,4.26,41.12,72.45,23.74,35.72,23.9,0.008323656,0.004435854,16.01033395,58.42155844,42.41122449,1,1,2,1
ENSG00000138442.5,WDR12,protein_coding,32.32,11.47,89.19,82.86,34.91,91.6,59.51,138.41,0,2.45,257.03,2.15,36.32,90.07,53.78,26.24,235.68,7.9,6.43,29.54,0.11,7.3,0.55,13.88,64.23,16.24,105.6,2.68,24.55,0,129.1,0,20.6,37.56,59.57,5.26,28.73,126.06,254.81,161.61,71.29,345.81,111.79,133.45,371.73,96.58,150.68,187.5,178.17,267.46,0,255.89,74.37,0,235.21,116.59,702.42,168.45,160.89,90.6,86.28,0.55,146.07,8.8,5.17,135.57,157.23,24.51,28.62,11.49,245.1,0.05,261.25,40.02,124.46,146.73,84.84,16.93,115.42,93.54,552.44,86.02,40.03,13.08,59.51,87.22,17.78,34.85,227.44,331.71,206.72,248.42,347.32,144.71,132.06,13.92,248.99,47.17,73.6,69.56,283.47,105.72,132.93,244.98,170.06,57.01,141.2,140.29,220.45,155.04,35.86,160.64,66.47,7.73,2.55,342.51,55.25,288.94,112.17,10.55,191.26,181.43,311.24,190.24,433.66,143.68,0.015403387,0.017184444,-52.55664193,98.33662338,150.8932653,1,1,2,1
ENSG00000075711.16,DLG1,protein_coding,37.1,67.5,71.4,203.9,81.6,37.82,59.99,3.51,10.58,56.22,45.46,5,16.71,126.89,58.7,83.02,78.92,82.76,22.83,90.22,102.95,272.13,34.54,175.41,30.59,21.65,7.88,37.41,84.6,197.41,122.4,13.59,116.61,118.1,51.39,37.65,69.27,107.97,0.1,136.01,225.6,54.67,22.46,188.77,121.79,94,72.76,408.67,99.21,103.76,70.07,45.86,82.96,266.18,64.92,13.81,89.01,11.8,41.99,63.67,75.25,1.74,35.23,508.43,3.91,100.87,15.59,76.91,8.92,78.45,77.32,45.37,213.72,69.16,110.49,40.3,59.15,91.07,62.01,30.67,63.26,136.56,135.81,15.95,61.21,8.28,86.09,97.16,36.28,40.15,82.82,25.22,38.44,29.71,12.93,86.96,67.51,42.64,29.43,71.62,10.77,110.81,55.36,47.95,51.43,47.97,43.08,75.99,57.19,126.69,40.64,17.97,15.49,130.26,46.56,26.31,148.82,14.92,31.32,98.8,15.74,46,79.17,129.39,69.15,22.81,0.042754628,0.018906923,26.80491651,86.24103896,59.43612245,1,1,2,1
ENSG00000039319.12,ZFYVE16,protein_coding,19.24,47.34,12.32,41.96,14.46,57.3,8.62,7.64,46.92,44.52,8.12,16.01,56.2,13.25,36.82,1.95,4.33,4.77,56.03,101.98,60.54,48.73,0,73.74,40.43,76.41,16.9,3.6,43.36,109.12,37.92,65.82,20.76,52.56,40.64,12.77,62.04,32.6,70.17,41.78,2.92,48.56,23.06,20.53,7.52,12.79,24.25,59.86,0,16.37,30.11,0.13,19.17,7.55,61.44,4.56,43.75,55.62,36.77,18.85,23.42,0.07,2.72,225.79,0.99,65.38,35.91,19.52,50.23,129.71,53.04,42,0.06,97.73,20.09,17.99,46.03,0.69,2.76,15.39,2.14,14.04,23.93,19.93,6.59,26.55,11.02,48.98,3.66,29.45,26.21,1.18,6.91,1.62,4.11,31.62,10.04,24.92,38.13,25.61,30.61,11.12,29.95,18.87,34.87,12.37,15.19,27.47,27.77,12.09,0.47,17.83,33.71,24.18,24.12,12.7,45.9,8.53,37.8,4.09,51.54,9.64,82.07,56.96,70.06,2.33,0.007890778,0.002594874,14.81298701,36.80727273,21.99428571,1,1,2,1
ENSG00000114796.11,KLHL24,protein_coding,11.98,45.18,0,0,0,47.13,6.34,0.75,15.17,36.88,4.48,33,4.54,26.51,42.16,2.44,0,15.67,0,20.08,11.18,84.18,0,51.61,0,36.92,6.81,105.03,57.7,12.05,127.16,7.33,32.94,9.63,0,0,0,0,0,57.83,0.24,2.47,6.29,0,0,49.13,0,2.66,1.1,14.84,0,0,0,0,4.28,0,0,0,0,7.28,0,0.18,0,0,12.56,0,0,10.76,0,0,0,1.24,0,0,0.05,11.74,46.95,23.94,0,0,16.61,41.94,132.45,28.02,16.65,8.79,2.38,17.62,48.52,13.19,24.94,80.63,76.17,0,1.59,56.89,35.61,33,18.05,107.35,0,13.39,13.22,63.19,86.13,75.84,35.25,8.77,126.02,0.93,22.82,29.11,39.91,1.18,0.22,0.62,2.84,16.98,106.84,13.3,1.38,78.34,125.92,7.5,79.21,5.99,0.000222507,0.000874501,-21.41092764,14.08376623,35.49469388,1,1,2,1
ENSG00000073584.14,SMARCE1,protein_coding,55.3,63.88,292.42,66.89,72.41,37.52,10.27,115.43,247.59,125.38,258.56,341.2,105.57,29.83,81.88,163.94,80.96,6.97,158.3,101.79,66.35,216.15,104.88,139.76,245.96,164.03,37.67,148.87,71.04,149.73,197.22,557.76,111.37,98.97,75.06,322.04,85.5,338.67,128.12,154.51,41.95,52.76,211.6,303.7,179.42,389.66,204.39,147.14,183.19,203.24,55.96,239.17,98.12,347.76,138.11,106.96,315.92,307.36,247.28,181.34,288.13,35.24,162.74,35.38,215.16,180.41,46.66,51.31,178.83,161.56,301.44,135.67,82.98,179.67,65.39,79.53,244.27,203.15,209.78,141.12,405.06,278.19,259.33,248.73,342.68,130.73,234.22,59.54,75.25,251.35,422.63,290.16,212.79,188.54,182.53,77.24,132.58,223.97,127.59,168.96,301.57,398.12,201.39,168.34,185.09,233.61,226.28,123.77,164.37,299.52,246.5,116.69,434.95,175.54,142.77,464.21,351.63,296.74,180.46,102.55,280.34,271.71,236.95,242.83,170.26,165.88,0.000461793,0.000378571,-66.65313544,158.8201299,225.4732653,1,1,2,1
ENSG00000150991.10,UBC,protein_coding,1316.05,1370.41,2200.09,1274.17,1988.43,1404.13,1665.8,625.42,2048.48,830.32,1146.96,901.03,486.16,1486.38,1043.3,1865.46,1702,1735.47,979.03,886.34,699.46,1375.57,417.97,1252.05,3219.72,1092.56,1269.68,841.28,1188.98,1203.39,831.24,1099.71,810.32,2023.92,702.54,1742.27,897.82,1055.41,1782.07,1189.57,2449.3,1769.41,2849.79,1334.86,1125.22,2606.66,2902.3,1788.96,4221.57,3167.79,289.78,2365.4,2040.61,303.68,839.75,2899.24,662.93,474.72,3202.42,1554.89,1515.05,739.97,1486.92,231.95,1254.36,1231.56,1698,611.96,1705.15,1438.71,893.7,776.39,1866.09,1333.21,1080.45,1213.41,2793.86,1568.92,2222.59,1436.29,1184.29,3192.16,2559.22,2425.37,2227.66,1588.95,1356.87,2432.98,1524.28,2259.78,1572.87,1653.39,1014.02,1373.21,2078.11,2204.86,1262.94,1421.07,2278.35,3702.31,2553.4,1225.04,1590.93,2062.76,2292.11,2997.34,913.1,2287.02,1132.67,922.83,1270.87,1604.26,858.81,915.03,1432.87,19.05,2006.64,1231.02,1680.04,1385.56,1165.31,1466.83,1952.91,1803.17,1948.34,1421.69,0.04967752,0.042135858,-268.8017254,1459.363377,1728.165102,1,1,2,1
